"","Top.Module","Measure","Variables_Names"
"1","66_78_83_110","4008.55855190319","BankruptcyCount12Month__JudgmentTimeNewest__AssetPropertyStateCount__BusExecLinkUtilityOverlapCount3"
"2","66_83_110","4004.46826265095","BankruptcyCount12Month__AssetPropertyStateCount__BusExecLinkUtilityOverlapCount3"
"3","66_101_109","4004.46826265095","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkPropertyOverlapCount3"
"4","66_101_110","4004.46826265095","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount3"
"5","66_110_130","4004.46826265095","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount3__AssociateWatchlistCount"
"6","66_108_110","4004.46826265095","BankruptcyCount12Month__BusExecLinkInquiryOverlapCount2__BusExecLinkUtilityOverlapCount3"
"7","66_87_109","4004.46826265095","BankruptcyCount12Month__AssetAircraftCount__BusExecLinkPropertyOverlapCount3"
"8","66_110","3989.15591109967","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount3"
"9","66_109","3989.15591109967","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount3"
"10","67_101_109_123","3852.01922994827","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount__BusExecLinkPropertyOverlapCount3__AssociateCountWithBankruptcy"
"11","100_109_179","3463.44456253864","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__BusAddrPersonNameOverlap"
"12","66_72_78_107","3446.9000198106","BankruptcyCount12Month__LienTimeNewest__JudgmentTimeNewest__BusExecLinkUtilityOverlapCount2"
"13","66_101_107","3381.86973339847","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2"
"14","66_78_105","3381.86973339847","BankruptcyCount12Month__JudgmentTimeNewest__BusExecLinkPropertyOverlapCount2"
"15","66_101_105","3381.86973339847","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkPropertyOverlapCount2"
"16","66_79_105","3381.86973339847","BankruptcyCount12Month__JudgmentTimeOldest__BusExecLinkPropertyOverlapCount2"
"17","66_105_152","3379.50720521829","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__BankruptcyChapter"
"18","66_107_152","3379.50720521829","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__BankruptcyChapter"
"19","66_105_106","3377.97906480527","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__BusExecLinkBusAddrAuthRep2Owned"
"20","100_107_130","3368.93515912437","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__AssociateWatchlistCount"
"21","100_101_107","3368.93515912437","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2"
"22","100_105_130","3368.93515912437","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__AssociateWatchlistCount"
"23","66_105_124","3350.29590184257","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateBankrupt1YearCount"
"24","66_105_120","3322.68473994463","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateFelonyCount"
"25","67_79_105_123","3315.2435509866","BankruptcyCount24Month__JudgmentTimeOldest__BusExecLinkPropertyOverlapCount2__AssociateCountWithBankruptcy"
"26","56_105_131","3314.80849850847","FirmReportedEarnings__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount"
"27","100_105_120","3310.13505836678","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__AssociateFelonyCount"
"28","66_107_121","3298.9284744397","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__AssociateCountWithFelony"
"29","66_105_121","3298.9284744397","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateCountWithFelony"
"30","73_109_153","3273.45999422381","LienTimeOldest__BusExecLinkPropertyOverlapCount3__LienType"
"31","74_109_153","3273.44655772205","LienDollarTotal__BusExecLinkPropertyOverlapCount3__LienType"
"32","66_105_131","3256.64622138325","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount"
"33","63_65_66_107","3255.57861087785","SOSEverDefunct__BankruptcyCount__BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2"
"34","100_107_131","3244.19930594882","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__AssociateBusinessCount"
"35","59_65_100_107","3238.09347020619","OrgLegalEntityCount__BankruptcyCount__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2"
"36","100_105_123","3236.07821455795","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__AssociateCountWithBankruptcy"
"37","66_105_114","3230.87157067394","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__InputAddrLotSize"
"38","67_105_123","3221.47899808569","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__AssociateCountWithBankruptcy"
"39","66_105_117","3209.4912057687","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__InputPhoneEntityCount"
"40","100_105_117","3197.07737368072","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__InputPhoneEntityCount"
"41","100_107_117","3197.07737368072","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__InputPhoneEntityCount"
"42","66_107","3157.76433509451","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2"
"43","66_105","3157.76433509451","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2"
"44","100_105","3152.96343499679","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2"
"45","100_107","3152.96343499679","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2"
"46","100_109_114_166","3104.77284639608","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__InputAddrLotSize__BusExecLinkAuthRep2NameOnFile"
"47","88_110_113","2979.35105245819","AssetWatercraftCount__BusExecLinkUtilityOverlapCount3__InputAddrSourceCount"
"48","9_100_110","2898.16134713946","RevolvingAvailablePercent__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"49","9_100_109","2898.16134713946","RevolvingAvailablePercent__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"50","100_110_166","2788.16632625031","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2NameOnFile"
"51","20_67_109","2642.35676012334","OldesttradeopenYearsAgo__BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3"
"52","20_67_110","2642.35676012334","OldesttradeopenYearsAgo__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3"
"53","17_88_109","2636.9454649312","PctNegTradesWas__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"54","88_107_113","2507.87286767926","AssetWatercraftCount__BusExecLinkUtilityOverlapCount2__InputAddrSourceCount"
"55","88_105_113","2507.87286767926","AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__InputAddrSourceCount"
"56","18_56_109","2478.46068398094","PctNegTradesTotal__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
"57","41_46_109","2443.32335662181","FS13__FS27__BusExecLinkPropertyOverlapCount3"
"58","64_100_109","2374.00337873518","SOSStateCount__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"59","67_87_110_157","2369.24913712296","BankruptcyCount24Month__AssetAircraftCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepAddrOnFile"
